"","seconds","etype","shotdff","awayteam","hometeam","ev.team"
"1",38,"SHOT",1,"TOR","WPG","WPG"
"2",49,"SHOT",2,"TOR","WPG","WPG"
"3",63,"SHOT",3,"TOR","WPG","WPG"
"4",106,"SHOT",2,"TOR","WPG","TOR"
"5",222,"SHOT",3,"TOR","WPG","WPG"
"6",230,"SHOT",4,"TOR","WPG","WPG"
"7",270,"SHOT",5,"TOR","WPG","WPG"
"8",279,"SHOT",6,"TOR","WPG","WPG"
"9",289,"SHOT",7,"TOR","WPG","WPG"
"10",311,"SHOT",6,"TOR","WPG","TOR"
"11",354,"SHOT",7,"TOR","WPG","WPG"
"12",432,"SHOT",6,"TOR","WPG","TOR"
"13",451,"SHOT",7,"TOR","WPG","WPG"
"14",488,"SHOT",8,"TOR","WPG","WPG"
"15",561,"SHOT",7,"TOR","WPG","TOR"
"16",603,"SHOT",8,"TOR","WPG","WPG"
"17",710,"SHOT",9,"TOR","WPG","WPG"
"18",768,"SHOT",10,"TOR","WPG","WPG"
"19",776,"SHOT",11,"TOR","WPG","WPG"
"20",806,"SHOT",10,"TOR","WPG","TOR"
"21",903,"SHOT",11,"TOR","WPG","WPG"
"22",940,"SHOT",10,"TOR","WPG","TOR"
"23",943,"SHOT",9,"TOR","WPG","TOR"
"24",945,"GOAL",8,"TOR","WPG","TOR"
"25",1056,"SHOT",7,"TOR","WPG","TOR"
"26",1060,"GOAL",6,"TOR","WPG","TOR"
"27",1103,"GOAL",5,"TOR","WPG","TOR"
"28",1193,"SHOT",6,"TOR","WPG","WPG"
"29",1330,"SHOT",7,"TOR","WPG","WPG"
"30",1358,"SHOT",8,"TOR","WPG","WPG"
"31",1360,"SHOT",9,"TOR","WPG","WPG"
"32",1572,"SHOT",10,"TOR","WPG","WPG"
"33",1582,"SHOT",11,"TOR","WPG","WPG"
"34",1603,"SHOT",10,"TOR","WPG","TOR"
"35",1659,"SHOT",11,"TOR","WPG","WPG"
"36",1682,"SHOT",12,"TOR","WPG","WPG"
"37",1712,"GOAL",11,"TOR","WPG","TOR"
"38",1728,"SHOT",10,"TOR","WPG","TOR"
"39",1834,"SHOT",9,"TOR","WPG","TOR"
"40",1862,"SHOT",10,"TOR","WPG","WPG"
"41",1910,"SHOT",11,"TOR","WPG","WPG"
"42",1923,"SHOT",12,"TOR","WPG","WPG"
"43",1971,"SHOT",11,"TOR","WPG","TOR"
"44",2008,"SHOT",10,"TOR","WPG","TOR"
"45",2245,"SHOT",9,"TOR","WPG","TOR"
"46",2272,"SHOT",8,"TOR","WPG","TOR"
"47",2436,"GOAL",7,"TOR","WPG","TOR"
"48",2451,"SHOT",8,"TOR","WPG","WPG"
"49",2591,"SHOT",9,"TOR","WPG","WPG"
"50",2605,"SHOT",8,"TOR","WPG","TOR"
"51",2698,"SHOT",9,"TOR","WPG","WPG"
"52",2704,"SHOT",10,"TOR","WPG","WPG"
"53",2754,"SHOT",11,"TOR","WPG","WPG"
"54",2794,"SHOT",10,"TOR","WPG","TOR"
"55",2795,"SHOT",9,"TOR","WPG","TOR"
"56",2807,"SHOT",8,"TOR","WPG","TOR"
"57",2868,"SHOT",7,"TOR","WPG","TOR"
"58",2884,"SHOT",6,"TOR","WPG","TOR"
"59",2885,"SHOT",5,"TOR","WPG","TOR"
"60",2887,"GOAL",4,"TOR","WPG","TOR"
"61",2946,"SHOT",3,"TOR","WPG","TOR"
"62",2958,"SHOT",4,"TOR","WPG","WPG"
"63",3091,"GOAL",5,"TOR","WPG","WPG"
"64",3117,"GOAL",4,"TOR","WPG","TOR"
"65",3177,"GOAL",5,"TOR","WPG","WPG"
"66",3235,"SHOT",6,"TOR","WPG","WPG"
"67",3352,"SHOT",5,"TOR","WPG","TOR"
"68",3416,"SHOT",6,"TOR","WPG","WPG"
