"","seconds","etype","shotdff","awayteam","hometeam","ev.team"
"1",48,"SHOT",-1,"FLA","T.B","FLA"
"2",177,"SHOT",0,"FLA","T.B","T.B"
"3",204,"SHOT",-1,"FLA","T.B","FLA"
"4",253,"SHOT",0,"FLA","T.B","T.B"
"5",289,"SHOT",-1,"FLA","T.B","FLA"
"6",294,"SHOT",-2,"FLA","T.B","FLA"
"7",306,"SHOT",-3,"FLA","T.B","FLA"
"8",393,"GOAL",-2,"FLA","T.B","T.B"
"9",432,"SHOT",-3,"FLA","T.B","FLA"
"10",502,"SHOT",-4,"FLA","T.B","FLA"
"11",704,"SHOT",-3,"FLA","T.B","T.B"
"12",716,"SHOT",-4,"FLA","T.B","FLA"
"13",763,"SHOT",-5,"FLA","T.B","FLA"
"14",864,"SHOT",-6,"FLA","T.B","FLA"
"15",1051,"SHOT",-5,"FLA","T.B","T.B"
"16",1071,"SHOT",-4,"FLA","T.B","T.B"
"17",1225,"GOAL",-3,"FLA","T.B","T.B"
"18",1402,"SHOT",-4,"FLA","T.B","FLA"
"19",1403,"SHOT",-5,"FLA","T.B","FLA"
"20",1433,"SHOT",-4,"FLA","T.B","T.B"
"21",1513,"SHOT",-5,"FLA","T.B","FLA"
"22",1564,"SHOT",-6,"FLA","T.B","FLA"
"23",1612,"SHOT",-7,"FLA","T.B","FLA"
"24",1635,"SHOT",-8,"FLA","T.B","FLA"
"25",1671,"SHOT",-7,"FLA","T.B","T.B"
"26",1708,"SHOT",-8,"FLA","T.B","FLA"
"27",1939,"SHOT",-9,"FLA","T.B","FLA"
"28",1941,"GOAL",-10,"FLA","T.B","FLA"
"29",1958,"SHOT",-11,"FLA","T.B","FLA"
"30",2057,"SHOT",-10,"FLA","T.B","T.B"
"31",2061,"SHOT",-9,"FLA","T.B","T.B"
"32",2112,"SHOT",-8,"FLA","T.B","T.B"
"33",2177,"SHOT",-7,"FLA","T.B","T.B"
"34",2267,"SHOT",-8,"FLA","T.B","FLA"
"35",2267,"GOAL",-9,"FLA","T.B","FLA"
"36",2314,"SHOT",-8,"FLA","T.B","T.B"
"37",2375,"SHOT",-7,"FLA","T.B","T.B"
"38",2379,"SHOT",-6,"FLA","T.B","T.B"
"39",2389,"SHOT",-5,"FLA","T.B","T.B"
"40",2459,"GOAL",-4,"FLA","T.B","T.B"
"41",2465,"SHOT",-5,"FLA","T.B","FLA"
"42",2526,"SHOT",-4,"FLA","T.B","T.B"
"43",2705,"SHOT",-3,"FLA","T.B","T.B"
"44",2766,"SHOT",-2,"FLA","T.B","T.B"
"45",2798,"GOAL",-1,"FLA","T.B","T.B"
"46",2880,"SHOT",-2,"FLA","T.B","FLA"
"47",3006,"SHOT",-3,"FLA","T.B","FLA"
"48",3013,"SHOT",-4,"FLA","T.B","FLA"
"49",3036,"SHOT",-3,"FLA","T.B","T.B"
"50",3210,"SHOT",-4,"FLA","T.B","FLA"
"51",3224,"SHOT",-3,"FLA","T.B","T.B"
"52",3254,"SHOT",-4,"FLA","T.B","FLA"
"53",3264,"SHOT",-5,"FLA","T.B","FLA"
"54",3270,"GOAL",-6,"FLA","T.B","FLA"
"55",3333,"SHOT",-7,"FLA","T.B","FLA"
"56",3376,"SHOT",-8,"FLA","T.B","FLA"
"57",3429,"SHOT",-9,"FLA","T.B","FLA"
"58",3497,"SHOT",-10,"FLA","T.B","FLA"
"59",3519,"SHOT",-11,"FLA","T.B","FLA"
"60",3553,"SHOT",-12,"FLA","T.B","FLA"
"61",3586,"GOAL",-11,"FLA","T.B","T.B"
